name	formula	charge
AcetylCoA	C23H38N7O17P3S	+1
AcCoA	C23H38N7O17P3S	+1
ADP	C10H15N5O10P2	+1
AMP	C10H14N5O7P	+1
ATP	C10H16N5O13P3	+1
NAD	C21H28N7O14P2	+1
AMP	C10H14N5O7P	+1
NADP	C21H29N7O17P3	+1
NADPH	C21H30N7O17P3	+1
NMN	C11H15N2O8P	+1
CoA	C21H36N7O16P3S	+1
FMN	C17H21N4O9P	+1
cFMN	C17H19N4O8P	+1
NADH	C21H29N7O14P2	+1
FAD	C27H33N9O15P2	+1
ADPr	C15H23N5O14P2	+1
NAM	C6H6N2O	+1
PRPP	C5H13O14P3	+1
Pantothenic_acid	O5N1H17C9	+1
SAH	S1O5N6H20C14	+1
SAM	S1O5N6H22C15	+1
NMNH	P1O8N2H16C11	+1
Pantetheine	C11H22N2O4S	+1
DephosphoCoA	C21H35N7O13P2S	+1

